UniProt_ID	Gene_Name	Protein_Name	Subcellular_Location	Domain_Information
Q86VQ3	TXNDC2	Thioredoxin domain-containing protein 2 (Spermatid-specific thioredoxin-1) (Sptrx-1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11399755}. Note=In ejaculated spermatozoa, it localizes in the caudal region of the head to the end of the principal piece.	
Q86VW1	SLC22A16	Solute carrier family 22 member 16 (Carnitine transporter 2) (CT2) (Fly-like putative transporter 2) (FLIPT2) (Flipt 2) (Organic cation transporter OKB1) (Organic cation/carnitine transporter 6)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12089149, ECO:0000269|PubMed:20037140}; Multi-pass membrane protein {ECO:0000305}. Note=Detected in the plasma membrane of Sertoli cells and in the luminal membrane of epithelial cells in the epididymis. {ECO:0000269|PubMed:12089149}.	
Q86WG3	ATCAY	Caytaxin (Ataxia cayman type protein) (BNIP-2-homology) (BNIP-H)	SUBCELLULAR LOCATION: Cell projection, axon {ECO:0000250|UniProtKB:Q1M168}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q1M168}. Presynapse {ECO:0000269|PubMed:16899818}. Mitochondrion {ECO:0000250|UniProtKB:Q1M168}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q1M168}. Cytoplasm {ECO:0000269|PubMed:16899818}.	DOMAIN: The CRAL-TRIO domain is known to bind small hydrophobic molecules. {ECO:0000250}.
Q86X24	HORMAD1	HORMA domain-containing protein 1 (Cancer/testis antigen 46) (CT46) (Newborn ovary HORMA protein)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9D5T7}. Chromosome {ECO:0000250|UniProtKB:Q9D5T7}. Note=Preferentially localizes to unsynapsed or desynapsed chromosomal regions during the prophase I stage of meiosis. TRIP13 is required for depletion from synapsed chromosomes. The expression of the phosphorylated form at Ser-377 is restricted to unsynapsed chromosomal regions (By similarity). {ECO:0000250|UniProtKB:Q9D5T7}.	
Q86X51	EZHIP	EZH inhibitory protein	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29909548, ECO:0000269|PubMed:30923826, ECO:0000269|PubMed:31086175}. Cytoplasm {ECO:0000269|PubMed:30923826}.	
Q86YI8	PHF13	PHD finger protein 13 (Survival time-associated PHD finger protein in ovarian cancer 1) (SPOC1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19638409, ECO:0000269|PubMed:23034801}. Nucleus, nucleoplasm {ECO:0000269|PubMed:19638409}. Note=Predominantly bound to chromatin, but a minor proportion is also detected in the nucleoplasm.	
Q86YW0	PLCZ1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-zeta-1) (Phospholipase C-zeta-1) (PLC-zeta-1) (Testis-development protein NYD-SP27)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8K4D7}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q8K4D7}. Note=Exhibits alternative cytoplasmic/nuclear localization during development. Translocates from the pronucleus into cytoplasm upon nuclear envelope breakdown for mitosis and localizes again to the pronucleus at interphase following meiosis and mitosis (By similarity). {ECO:0000250|UniProtKB:Q8K4D7}.	DOMAIN: The EF-hand and C2 domains are essential for triggering Ca(2+) oscillating activity and the regulation of PLCZ1 enzyme activity. {ECO:0000250|UniProtKB:Q8K4D7}.; DOMAIN: The X-Y linker region between PI-PLC X-box and Y-box domains may be a target for proteolysis and may play an important regulatory role during fertilization. {ECO:0000250|UniProtKB:Q8K4D7}.
Q86YW7	GPHB5	Glycoprotein hormone beta-5 (Thyrostimulin subunit beta)	SUBCELLULAR LOCATION: Secreted.	
Q86Z23	C1QL4	Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11)	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	
Q8IU54	IFNL1	Interferon lambda-1 (IFN-lambda-1) (Cytokine Zcyto21) (Interleukin-29) (IL-29)	SUBCELLULAR LOCATION: Secreted.	
Q8IUF8	RIOX2	Ribosomal oxygenase 2 (60S ribosomal protein L27a histidine hydroxylase) (Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA) (EC 1.14.11.79) (Histone lysine demethylase MINA) (MYC-induced nuclear antigen) (Mineral dust-induced gene protein) (Nucleolar protein 52) (Ribosomal oxygenase MINA) (ROX)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12091391, ECO:0000269|PubMed:15819408}. Nucleus, nucleolus {ECO:0000269|PubMed:12091391, ECO:0000269|PubMed:15819408}.	
Q8IV45	UNC5CL	UNC5C-like protein (Protein unc-5 homolog C-like) (ZU5 and death domain-containing protein)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type III membrane protein {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:14769797}.	
Q8IVJ1	SLC41A1	Solute carrier family 41 member 1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18367447, ECO:0000269|PubMed:23976986}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:23661805}; Multi-pass membrane protein {ECO:0000255}.	
Q8IWG1	DNAI3	Dynein axonemal intermediate chain 3 (Testis development protein NYD-SP29) (WD repeat-containing protein 63)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32128961}.	
Q8IWL3	HSCB	Iron-sulfur cluster co-chaperone protein HscB (DnaJ homolog subfamily C member 20) [Cleaved into: Iron-sulfur cluster co-chaperone protein HscB, cytoplasmic (C-HSC20); Iron-sulfur cluster co-chaperone protein HscB, mitochondrial]	SUBCELLULAR LOCATION: [Iron-sulfur cluster co-chaperone protein HscB, cytoplasmic]: Cytoplasm {ECO:0000269|PubMed:20668094, ECO:0000269|PubMed:29309586}.; SUBCELLULAR LOCATION: [Iron-sulfur cluster co-chaperone protein HscB, mitochondrial]: Mitochondrion {ECO:0000269|PubMed:20668094}.	
Q8IWT1	SCN4B	Sodium channel regulatory subunit beta-4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24297919}; Single-pass type I membrane protein {ECO:0000269|PubMed:24297919}.	
Q8IX19	MCEMP1	Mast cell-expressed membrane protein 1	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:15953541}; Single-pass type II membrane protein {ECO:0000269|PubMed:15953541}.	
Q8IXA5	SPACA3	Sperm acrosome membrane-associated protein 3 (Cancer/testis antigen 54) (CT54) (Lysozyme-like acrosomal sperm-specific secretory protein ALLP-17) (Lysozyme-like protein 3) (Sperm lysozyme-like protein 1) (Sperm protein reactive with antisperm antibodies) (Sperm protein reactive with ASA) [Cleaved into: Sperm acrosome membrane-associated protein 3, membrane form; Sperm acrosome membrane-associated protein 3, processed form]	SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Note=Anterior acrosome in non-capacitated spermatozoa and retained in the equatorial segment and in the luminal face of both the inner and outer acrosomal membranes following capacitation and the acrosome reaction. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.	
Q8IXF0	NPAS3	Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Class E basic helix-loop-helix protein 12) (bHLHe12) (Member of PAS protein 6) (PAS domain-containing protein 6)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:12746393}.	
Q8IXM6	NRM	Nurim (Nuclear envelope membrane protein) (Nuclear rim protein)	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:10402458, ECO:0000269|PubMed:15542857, ECO:0000269|PubMed:23092226}; Multi-pass membrane protein {ECO:0000269|PubMed:10402458, ECO:0000269|PubMed:15542857, ECO:0000269|PubMed:23092226}.	
Q8IY21	DDX60	Probable ATP-dependent RNA helicase DDX60 (EC 3.6.4.13) (DEAD box protein 60)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21791617}.	
Q8IY47	KBTBD2	Kelch repeat and BTB domain-containing protein 2 (BTB and kelch domain-containing protein 1)		DOMAIN: Recognizes the BCR (BTB-CUL3-RBX1) E3 ubiquitin ligase complex substrate, PIK3R1, through the 4 tandem C-terminal Kelch domains. {ECO:0000250|UniProtKB:G3X9X1}.
Q8IYB3	SRRM1	Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein)	SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:12624182, ECO:0000269|PubMed:9531537}. Nucleus speckle {ECO:0000269|PubMed:11546874, ECO:0000269|PubMed:9531537}.	
Q8IYL9	GPR65	G-protein coupled receptor 65 (Psychosine receptor) (T-cell death-associated gene 8 protein)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15618224, ECO:0000269|PubMed:37722051}; Multi-pass membrane protein {ECO:0000269|PubMed:39753132}. Early endosome membrane {ECO:0000269|PubMed:37722051}; Multi-pass membrane protein {ECO:0000269|PubMed:39753132}. Late endosome membrane {ECO:0000269|PubMed:37722051}; Multi-pass membrane protein {ECO:0000269|PubMed:39753132}. Note=Internalizes and localizes to early and late endosomes, from where GPR65 signals at steady state, irrespective of extracellular pH (PubMed:39753132). Changes in extracellular pH may relocalize receptor signaling to the cell membrane (PubMed:39753132). {ECO:0000269|PubMed:39753132}.	DOMAIN: A multitude of proton-sensing residues, which include extracellular histidine (His-10, His-14 and His-243) residues or triad of buried acidic residues (Asp-60, Glu-142, Asp-286), contribute to activation of the G-protein coupled receptor activity and pH sensitivity. {ECO:0000269|PubMed:33478938, ECO:0000269|PubMed:39753132}.
Q8IYU8	MICU2	Calcium uptake protein 2, mitochondrial (hMICU3) (EF-hand domain-containing family member A1)	SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:24231807, ECO:0000269|PubMed:24560927, ECO:0000269|PubMed:26774479, ECO:0000269|PubMed:27099988}. Mitochondrion inner membrane {ECO:0000269|PubMed:24231807, ECO:0000269|PubMed:27099988, ECO:0000269|PubMed:28615291}. Note=Recruited to the mitochondrial inner membrane via its association with the uniplex complex. {ECO:0000269|PubMed:24231807}.	DOMAIN: EF-hand domains 1 and 4 have high affinity for calcium and act as sensors of mitochondrial matrix calcium levels (PubMed:24503055, PubMed:31397067). EF-hand domains 2 and 3 are degenerate (PubMed:31397067). {ECO:0000269|PubMed:24503055, ECO:0000269|PubMed:31397067}.
Q8IZ07	ANKRD13A	Ankyrin repeat domain-containing protein 13A (Protein KE03)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22298428}. Late endosome {ECO:0000269|PubMed:22298428}. Note=Interaction with EGFR may enhance association with the cell membrane.	DOMAIN: The UIM repeats 3 and 4 are required for binding to ubiquitinated EGFR and 'Lys-63'-linked ubiquitin.
Q8IZI9	IFNL3	Interferon lambda-3 (IFN-lambda-3) (Cytokine Zcyto22) (Interleukin-28B) (IL-28B) (Interleukin-28C) (IL-28C)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12483210}.	
Q8IZP1	TBC1D3	TBC1 domain family member 3 (Prostate cancer gene 17 protein) (Protein TRE17-alpha) (Rab GTPase-activating protein PRC17)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23578663}; Lipid-anchor {ECO:0000269|PubMed:23578663}. Note=Associated with lipid rafts.	
Q8N0X7	SPART	Spartin (Spastic paraplegia 20 protein) (Trans-activated by hepatitis C virus core protein 1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19580544}. Midbody {ECO:0000269|PubMed:20719964}. Lipid droplet {ECO:0000269|PubMed:37443287, ECO:0000269|PubMed:38190532}. Note=Transiently associated with endosomes (PubMed:19580544). Colocalized with IST1 to the ends of Flemming bodies during cytokinesis (PubMed:20719964). {ECO:0000269|PubMed:19580544, ECO:0000269|PubMed:20719964}.	DOMAIN: The senescence domain is required and sufficient for lipid transfer. {ECO:0000269|PubMed:38190532}.
Q8N100	ATOH7	Transcription factor ATOH7 (Atonal bHLH transcription factor 7) (Class A basic helix-loop-helix protein 13) (bHLHa13) (Protein atonal homolog 7)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:31696227}. Perikaryon {ECO:0000250|UniProtKB:Q9Z2E5}. Cell projection, axon {ECO:0000250|UniProtKB:Q9Z2E5}.	
Q8N136	DAW1	Dynein assembly factor with WD repeat domains 1 (Outer row dynein assembly protein 16 homolog) (WD repeat-containing protein 69)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum basal body {ECO:0000250|UniProtKB:Q3Y8L7}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:Q3Y8L7}. Note=Expression is concentrated at the flagellum basal body but is also detected along the length of the flagellum. {ECO:0000250|UniProtKB:Q3Y8L7}.	
Q8N140	EID3	EP300-interacting inhibitor of differentiation 3 (EID-3) (E1A-like inhibitor of differentiation 3) (EID-1-like inhibitor of differentiation 3) (Non-structural maintenance of chromosomes element 4 homolog B) (NS4EB) (Non-SMC element 4 homolog B)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15987788}. Cytoplasm {ECO:0000269|PubMed:15987788}. Chromosome, telomere {ECO:0000305|PubMed:15987788}. Note=May shuttle between nucleus and cytoplasm. {ECO:0000269|PubMed:15987788}.	
Q8N144	GJD3	Gap junction delta-3 protein (Connexin-31.9) (Cx31.9) (Gap junction alpha-11 protein) (Gap junction chi-1 protein)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12154091}; Multi-pass membrane protein {ECO:0000269|PubMed:12154091}. Cell junction, gap junction {ECO:0000269|PubMed:12154091}.	
Q8N183	NDUFAF2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 (B17.2-like) (B17.2L) (Mimitin) (Myc-induced mitochondrial protein) (MMTN) (NDUFA12-like protein)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:15774466}.	
Q8N1B4	VPS52	Vacuolar protein sorting-associated protein 52 homolog (SAC2 suppressor of actin mutations 2-like protein)	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:15878329, ECO:0000269|PubMed:18367545}; Peripheral membrane protein. Endosome membrane {ECO:0000269|PubMed:18367545}; Peripheral membrane protein. Recycling endosome {ECO:0000269|PubMed:25799061}. Note=Localizes to the trans-Golgi network as part of the GARP complex, while it localizes to recycling endosomes as part of the EARP complex (PubMed:25799061). {ECO:0000269|PubMed:25799061}.	
Q8N371	KDM8	Bifunctional peptidase and arginyl-hydroxylase JMJD5 (EC 1.14.11.73) (EC 3.4.-.-) (JmjC domain-containing protein 5) (Jumonji C domain-containing protein 5) (L-arginine (3R)-hydroxylase KDM8)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20457893, ECO:0000269|PubMed:28982940}. Chromosome {ECO:0000269|PubMed:24981860}. Note=Colocalizes with trimethylated 'Lys-9' of histone H3 (H3K9me3). {ECO:0000269|PubMed:24981860}.	
Q8N3I7	BBS5	BBSome complex member BBS5 (Bardet-Biedl syndrome 5 protein)	SUBCELLULAR LOCATION: Cell projection, cilium membrane. Cytoplasm. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite. Note=Localizes to basal bodies. {ECO:0000250}.	
Q8N428	GALNT16	Polypeptide N-acetylgalactosaminyltransferase 16 (EC 2.4.1.41) (Polypeptide GalNAc transferase 16) (GalNAc-T16) (Polypeptide GalNAc transferase-like protein 1) (GalNAc-T-like protein 1) (pp-GaNTase-like protein 1) (Polypeptide N-acetylgalactosaminyltransferase-like protein 1) (Protein-UDP acetylgalactosaminyltransferase-like protein 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 1)	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.	DOMAIN: There are two conserved domains in the glycosyltransferase region: the N-terminal domain (domain A, also called GT1 motif), which is probably involved in manganese coordination and substrate binding and the C-terminal domain (domain B, also called Gal/GalNAc-T motif), which is probably involved in catalytic reaction and UDP-Gal binding. {ECO:0000250}.; DOMAIN: The ricin B-type lectin domain binds to GalNAc and contributes to the glycopeptide specificity. {ECO:0000250}.
Q8N4N8	KIF2B	Kinesin-like protein KIF2B	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:17538014}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:17538014}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:17538014}. Note=Association with kinetochore is transient.	
Q8N5D6	GBGT1	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (EC 2.4.1.-) (Forssman glycolipid synthase-like protein)	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	DOMAIN: The conserved DXD motif is involved in cofactor binding. The manganese ion interacts with the beta-phosphate group of UDP and may also have a role in catalysis (By similarity). {ECO:0000250}.
Q8N5U6	RNF10	E3 ubiquitin-protein ligase RNF10 (EC 2.3.2.27) (RING finger protein 10)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16335786}. Nucleus {ECO:0000250|UniProtKB:Q5XI59}.	
Q8N5Z0	AADAT	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Glycine transaminase AADAT) (EC 2.6.1.4) (Kynurenine aminotransferase II) (Kynurenine--glyoxylate transaminase AADAT) (EC 2.6.1.63) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II) (Methionine--glyoxylate transaminase AADAT) (EC 2.6.1.73)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.	
Q8N653	LZTR1	Leucine-zipper-like transcriptional regulator 1 (LZTR-1)	SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:30442762, ECO:0000269|PubMed:30442766}. Recycling endosome {ECO:0000269|PubMed:30442762}. Golgi apparatus {ECO:0000269|PubMed:16356934, ECO:0000269|PubMed:30481304, ECO:0000269|PubMed:34626534}.	
Q8N6G5	CSGALNACT2	Chondroitin sulfate N-acetylgalactosaminyltransferase 2 (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2) (Beta4GalNAcT-2) (GalNAcT-2)	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	
Q8N6R0	METTL13	eEF1A lysine and N-terminal methyltransferase (eEF1A-KNMT) (Methyltransferase-like protein 13) [Includes: eEF1A lysine methyltransferase (EC 2.1.1.-); eEF1A N-terminal methyltransferase (EC 2.1.1.-)]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:27659353}. Nucleus {ECO:0000269|PubMed:27659353}. Mitochondrion {ECO:0000269|PubMed:27659353}.	
Q8N743	KIR3DL3	Killer cell immunoglobulin-like receptor 3DL3 (CD158 antigen-like family member Z) (Killer cell inhibitory receptor 1) (CD antigen CD158z)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.	
Q8N7C3	TRIML2	Probable E3 ubiquitin-protein ligase TRIML2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIML2) (SPRY domain-containing protein 6) (Tripartite motif family-like protein 2)		
Q8N8N7	PTGR2	Prostaglandin reductase 2 (PRG-2) (EC 1.3.1.48) (15-oxoprostaglandin 13-reductase) (Zinc-binding alcohol dehydrogenase domain-containing protein 1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	
Q8N8U9	BMPER	BMP-binding endothelial regulator protein (Bone morphogenetic protein-binding endothelial cell precursor-derived regulator) (Protein crossveinless-2) (hCV2)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:14766204}.	
Q8N8W4	PNPLA1	Omega-hydroxyceramide transacylase (EC 2.3.1.296) (Patatin-like phospholipase domain-containing protein 1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22246504}.	
Q8N9A8	CNEP1R1	Nuclear envelope phosphatase-regulatory subunit 1 (NEP1-R1) (Transmembrane protein 188)	SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000269|PubMed:22134922}; Multi-pass membrane protein {ECO:0000269|PubMed:22134922}. Cytoplasm {ECO:0000269|PubMed:22134922}. Note=Filamentous pattern in the cytoplasm.	
Q8NA56	TTC29	Tetratricopeptide repeat protein 29 (TPR repeat protein 29) (Protein TBPP2A) (Testis development protein NYD-SP14)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000269|PubMed:31735292, ECO:0000269|PubMed:31735294, ECO:0000269|PubMed:37934199}.	DOMAIN: The TPR repeats are required for axonemal localization and flagellar beating. {ECO:0000250|UniProtKB:Q57ZB2}.
Q8NA61	CBY2	Protein chibby homolog 2 (Spermatid-associated protein)		
Q8NA82	MARCHF10	Probable E3 ubiquitin-protein ligase MARCHF10 (EC 2.3.2.27) (Membrane-associated RING finger protein 10) (Membrane-associated RING-CH protein X) (MARCH-X) (RING finger protein 190) (RING-type E3 ubiquitin transferase MARCHF10)		DOMAIN: The RING-CH-type zinc finger domain is required for E3 ligase activity. {ECO:0000255|PROSITE-ProRule:PRU00623}.
Q8NBJ4	GOLM1	Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2)	SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:10831838, ECO:0000269|PubMed:12191016}; Single-pass type II membrane protein {ECO:0000269|PubMed:10831838, ECO:0000269|PubMed:12191016}. Note=Early Golgi. Cycles via the cell surface and endosomes upon lumenal pH disruption.	
Q8NCB2	CAMKV	CaM kinase-like vesicle-associated protein	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cytoplasmic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Predominantly observed in association with the plasma membrane of soma and in neurites, both axons and dendrites. May be associated with vesicular structures (By similarity). {ECO:0000250}.	DOMAIN: The protein kinase domain is predicted to be catalytically inactive.
Q8NCW6	GALNT11	Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41) (Polypeptide GalNAc transferase 11) (GalNAc-T11) (pp-GaNTase 11) (Protein-UDP acetylgalactosaminyltransferase 11) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11)	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:11925450}; Single-pass type II membrane protein {ECO:0000269|PubMed:11925450}.	DOMAIN: There are two conserved domains in the glycosyltransferase region: the N-terminal domain (domain A, also called GT1 motif), which is probably involved in manganese coordination and substrate binding and the C-terminal domain (domain B, also called Gal/GalNAc-T motif), which is probably involved in catalytic reaction and UDP-Gal binding. {ECO:0000250}.; DOMAIN: The ricin B-type lectin domain binds to GalNAc and contributes to the glycopeptide specificity. {ECO:0000250}.
Q8NDC4	MORN4	MORN repeat-containing protein 4 (Protein 44050) (Retinophilin)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:25822849}. Cell projection, filopodium tip {ECO:0000269|PubMed:25822849}. Cell projection, stereocilium {ECO:0000250|UniProtKB:Q6PGF2}. Note=Found in the cytoplasm in the absence of MYO3A and localizes at filopodial tips in the presence of MYO3A. {ECO:0000269|PubMed:25822849}.	
Q8NE63	HIPK4	Homeodomain-interacting protein kinase 4 (EC 2.7.11.1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	
Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)	SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:19570978}. Nucleus, nucleoplasm {ECO:0000269|PubMed:19570978}. Nucleus envelope {ECO:0000269|PubMed:19570978}.	
Q8NEA6	GLIS3	Zinc finger protein GLIS3 (GLI-similar 3) (Zinc finger protein 515)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.	
Q8NEB5	PLPP5	Phospholipid phosphatase 5 (EC 3.1.3.4) (EC 3.6.1.75) (Phosphatidic acid phosphatase type 2 domain-containing protein 1B)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:17590538}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q3UMZ3}.	
Q8NEP3	DNAAF1	Dynein axonemal assembly factor 1 (Leucine-rich repeat-containing protein 50)	SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000269|PubMed:18385425}. Cytoplasm {ECO:0000269|PubMed:18385425}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:18385425}. Note=In HEK293T cells, it is diffusely cytoplasmic and concentrates at the mitotic spindle poles, while in MDCK cells, it localizes in the cilium. In vivo, this protein is probably restricted to the cilium.	
Q8NG98	OR7D4	Olfactory receptor 7D4 (OR19-B) (Odorant receptor family subfamily D member 4RT) (Olfactory receptor OR19-7)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	
Q8NGI8	OR5AN1	Olfactory receptor 5AN1 (Olfactory receptor OR11-244)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:24361078, ECO:0000305|PubMed:25901328}; Multi-pass membrane protein {ECO:0000255}.	
Q8NHC4	OR10J5	Olfactory receptor 10J5 (Olfactory receptor OR1-28)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28842679}; Multi-pass membrane protein {ECO:0000255}.	
Q8NHG8	ZNRF2	E3 ubiquitin-protein ligase ZNRF2 (EC 2.3.2.27) (Protein Ells2) (RING finger protein 202) (RING-type E3 ubiquitin transferase ZNRF2) (Zinc/RING finger protein 2)	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:14561866}; Peripheral membrane protein {ECO:0000269|PubMed:14561866}. Lysosome membrane {ECO:0000269|PubMed:14561866}; Peripheral membrane protein {ECO:0000269|PubMed:14561866}. Presynaptic cell membrane {ECO:0000269|PubMed:14561866}; Peripheral membrane protein {ECO:0000269|PubMed:14561866}. Cytoplasm {ECO:0000269|PubMed:27244671}.	DOMAIN: The RING-type zinc finger domain is required for E3 ligase activity. {ECO:0000250}.
Q8NHQ1	CEP70	Centrosomal protein of 70 kDa (Cep70) (p10-binding protein)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:21795687}. Note=Localized at the center of the radial microtubule array in interphase and at the spindle poles during various stages of mitosis.	DOMAIN: The coiled-coil domains may be important for tubulin-gamma-binding and hence for centrosomal localization.
Q8NHS0	DNAJB8	DnaJ homolog subfamily B member 8		DOMAIN: The antiaggregation activity resides in the serine-rich region and the C-terminus.
Q8NHS9	SPATA22	Spermatogenesis-associated protein 22 (Testis development protein NYD-SP20)	SUBCELLULAR LOCATION: Chromosome {ECO:0000250|UniProtKB:Q5SV06}. Note=Localizes on meiotic chromosome axes. Accumulates on resected DNA. Localization is dependent on MEIOB. {ECO:0000250|UniProtKB:Q5SV06}.	
